,TEAM,TOTAL,LAST,NON-ADJ,W-L,OFFENSE,OFF.,DEFENSE,DEF.,S.T.,S.T.,Year
1,SEA,40.00%,1,40.30%,13-3,9.40%,7,-25.90%,1,4.70%,5,2013
2,DEN,32.70%,2,40.90%,13-3,33.50%,1,-0.20%,15,-1.00%,21,2013
3,CAR,24.60%,13,21.80%,4-Dec,7.90%,10,-15.70%,3,1.00%,13,2013
4,NO,19.30%,19,16.00%,5-Nov,16.00%,5,-5.80%,10,-2.50%,24,2013
5,NE,18.90%,3,17.90%,4-Dec,16.40%,4,4.20%,20,6.70%,2,2013
6,KC,17.50%,32,21.00%,11/5/2020,3.00%,15,-6.70%,9,7.80%,1,2013
7,SF,17.40%,4,12.90%,4-Dec,9.10%,8,-4.60%,13,3.70%,7,2013
8,PHI,15.20%,28,16.30%,10/6/2020,22.90%,3,4.90%,23,-2.80%,25,2013
9,CIN,14.20%,12,20.80%,5-Nov,0.40%,17,-12.60%,5,1.20%,12,2013
10,ARI,10.00%,26,4.40%,10/6/2020,-2.40%,20,-16.40%,2,-4.10%,27,2013
11,CHI,6.60%,6,5.70%,8-Aug,13.30%,6,8.70%,25,2.00%,11,2013
12,SD,6.40%,22,5.90%,7-Sep,23.10%,2,17.50%,32,0.80%,15,2013
13,IND,3.20%,25,7.70%,11/5/2020,4.30%,13,0.90%,16,-0.10%,18,2013
14,STL,2.40%,15,-1.20%,9-Jul,-9.50%,22,-5.70%,11,6.30%,4,2013
15,PIT,0.90%,18,4.40%,8-Aug,4.40%,12,4.00%,19,0.50%,16,2013
16,DET,-1.50%,16,2.40%,9-Jul,-1.90%,19,-0.80%,14,-0.40%,20,2013
17,DAL,-2.80%,17,-1.10%,8-Aug,7.50%,11,13.80%,30,3.40%,8,2013
18,BUF,-3.30%,23,-0.50%,10-Jun,-11.50%,25,-13.80%,4,-5.60%,30,2013
19,TB,-5.10%,20,-14.20%,12-Apr,-10.40%,24,-6.80%,8,-1.50%,22,2013
20,GB,-6.00%,5,-0.60%,7-Aug,8.60%,9,14.40%,31,-0.30%,19,2013
21,TEN,-6.10%,30,-3.10%,9-Jul,1.40%,16,4.20%,22,-3.20%,26,2013
22,MIA,-6.50%,21,-6.50%,8-Aug,-1.80%,18,2.40%,17,-2.40%,23,2013
23,BAL,-6.70%,8,-7.10%,8-Aug,-21.70%,30,-8.70%,7,6.30%,3,2013
24,NYJ,-7.70%,27,-8.10%,8-Aug,-15.30%,27,-5.60%,12,2.10%,10,2013
25,ATL,-10.40%,10,-15.50%,12-Apr,3.20%,14,13.50%,29,-0.10%,17,2013
26,MIN,-11.40%,14,-11.30%,10-May,-4.70%,21,10.50%,27,3.80%,6,2013
27,NYG,-15.70%,7,-20.40%,9-Jul,-22.00%,31,-11.40%,6,-5.10%,28,2013
28,CLE,-21.80%,24,-17.40%,12-Apr,-14.40%,26,8.20%,24,0.90%,14,2013
29,WAS,-26.20%,9,-29.50%,13-Mar,-10.00%,23,4.20%,21,-12.00%,32,2013
30,HOU,-26.50%,11,-26.30%,14-Feb,-18.90%,29,2.50%,18,-5.10%,29,2013
31,OAK,-34.10%,29,-35.90%,12-Apr,-16.70%,28,10.30%,26,-7.10%,31,2013
32,JAC,-38.20%,31,-37.60%,12-Apr,-29.80%,32,10.90%,28,2.50%,9,2013
