,TEAM,TOTAL,LAST,NON-ADJ,W-L,OFFENSE,OFF.,DEFENSE,DEF.,S.T.,S.T.,Year
1,SEA,38.10%,1,31.40%,6-Oct,18.70%,1,-15.20%,4,4.20%,3,2015
2,CIN,27.90%,12,24.20%,4-Dec,18.60%,2,-7.10%,10,2.20%,8,2015
3,ARI,27.40%,22,27.70%,13-3,15.70%,4,-15.60%,3,-4.00%,29,2015
4,CAR,26.00%,24,31.20%,15-1,10.10%,8,-18.40%,2,-2.40%,23,2015
5,KC,25.20%,10,24.30%,5-Nov,11.70%,6,-11.60%,6,2.00%,9,2015
6,NE,22.60%,4,24.50%,4-Dec,15.40%,5,-3.30%,12,3.90%,5,2015
7,PIT,21.30%,8,19.50%,6-Oct,17.30%,3,-3.80%,11,0.10%,18,2015
8,DEN,17.70%,2,17.70%,12/4/2020,-8.70%,25,-25.80%,1,0.70%,14,2015
9,NYJ,12.40%,27,20.30%,6-Oct,1.60%,14,-13.80%,5,-2.90%,25,2015
10,GB,9.90%,3,5.70%,10/6/2020,2.20%,11,-7.30%,9,0.40%,17,2015
11,MIN,5.70%,25,5.90%,5-Nov,0.00%,16,-1.80%,14,3.90%,4,2015
12,BUF,2.70%,9,5.90%,8/8/2020,9.80%,9,8.60%,24,1.50%,12,2015
13,DET,1.20%,14,-4.60%,9-Jul,1.80%,13,1.60%,16,1.00%,13,2015
14,OAK,0.10%,29,0.60%,9-Jul,-1.30%,18,-1.50%,15,-0.10%,19,2015
15,WAS,-0.30%,28,3.50%,9/7/2020,1.90%,12,5.40%,21,3.20%,6,2015
16,STL,-2.20%,18,-7.90%,9-Jul,-15.00%,29,-10.50%,7,2.40%,7,2015
17,BAL,-3.00%,5,-6.10%,11-May,-5.20%,20,5.10%,20,7.30%,1,2015
18,HOU,-4.80%,19,1.00%,7-Sep,-8.50%,24,-9.30%,8,-5.70%,32,2015
19,CHI,-5.70%,26,-10.40%,10-Jun,6.90%,10,11.30%,31,-1.20%,21,2015
20,NYG,-7.10%,21,-4.00%,10-Jun,-1.80%,19,10.70%,30,5.40%,2,2015
21,TB,-9.10%,30,-8.80%,10-Jun,-1.10%,17,3.30%,18,-4.70%,30,2015
22,PHI,-11.20%,7,-12.40%,9-Jul,-10.10%,26,3.00%,17,1.90%,10,2015
23,IND,-12.90%,13,-13.70%,8-Aug,-15.60%,30,-2.20%,13,0.50%,16,2015
24,SD,-14.80%,16,-15.20%,12-Apr,0.90%,15,10.40%,28,-5.30%,31,2015
25,JAC,-16.00%,32,-11.30%,11-May,-5.40%,21,9.70%,26,-0.90%,20,2015
26,ATL,-16.30%,20,-9.50%,8-Aug,-7.30%,23,6.90%,22,-2.10%,22,2015
27,DAL,-18.00%,6,-19.20%,12-Apr,-15.60%,31,4.10%,19,1.80%,11,2015
28,NO,-18.70%,17,-14.80%,9-Jul,10.50%,7,26.10%,32,-3.20%,26,2015
29,MIA,-19.00%,15,-15.40%,10-Jun,-7.30%,22,9.00%,25,-2.70%,24,2015
30,CLE,-23.00%,23,-30.40%,13-Mar,-13.20%,27,10.50%,29,0.70%,15,2015
31,TEN,-26.60%,31,-26.00%,13-Mar,-15.70%,32,7.10%,23,-3.80%,28,2015
32,SF,-27.50%,11,-32.00%,11-May,-14.00%,28,9.90%,27,-3.60%,27,2015
