,TEAM,TOTAL,LAST,NON-ADJ,W-L,OFFENSE,OFF.,DEFENSE,DEF.,S.T.,S.T.,Year
1,BAL,41.50%,6,44.50%,14-2,27.50%,1,-12.70%,4,1.30%,10,2019
2,KC,30.20%,1,27.80%,44169,22.70%,3,-3.40%,14,4.10%,2,2019
3,NE,29.90%,7,33.70%,44169,4.10%,11,-24.60%,1,1.20%,11,2019
4,NO,29.30%,4,32.60%,13-3,21.30%,4,-4.30%,11,3.60%,3,2019
5,SF,27.90%,30,26.10%,13-3,7.20%,7,-19.80%,2,1.00%,12,2019
6,DAL,17.10%,21,22.10%,44051,24.00%,2,3.00%,19,-3.90%,30,2019
7,MIN,15.40%,10,18.20%,44110,4.60%,10,-9.90%,7,0.80%,14,2019
8,SEA,13.80%,12,6.90%,44140,17.40%,5,2.70%,18,-0.90%,20,2019
9,TEN,8.60%,20,14.60%,44081,12.90%,6,1.00%,16,-3.20%,29,2019
10,GB,7.70%,19,6.70%,13-3,6.50%,8,-1.10%,15,0.10%,18,2019
11,PHI,6.50%,16,7.70%,44081,2.60%,14,-4.00%,12,0.00%,19,2019
12,LAR,5.50%,2,1.50%,44081,0.30%,16,-6.90%,9,-1.80%,23,2019
13,BUF,2.70%,28,6.50%,44110,-7.30%,22,-11.30%,6,-1.20%,21,2019
14,TB,1.50%,24,3.50%,44021,-7.30%,21,-11.50%,5,-2.80%,28,2019
15,CHI,-2.10%,5,-6.80%,44051,-10.10%,25,-7.10%,8,0.90%,13,2019
16,IND,-5.00%,8,-1.30%,44021,-3.10%,19,2.30%,17,0.40%,16,2019
17,ATL,-5.00%,18,-9.40%,44021,2.00%,15,4.40%,20,-2.60%,27,2019
18,PIT,-5.50%,9,-4.90%,44051,-25.40%,32,-18.50%,3,1.40%,9,2019
19,HOU,-5.80%,11,-5.70%,44110,0.30%,17,8.90%,26,2.90%,5,2019
20,ARI,-5.80%,32,-11.20%,37021,3.80%,13,7.20%,23,-2.40%,26,2019
21,LAC,-6.70%,3,-5.30%,43962,3.80%,12,5.40%,21,-5.10%,32,2019
22,DEN,-9.00%,13,-6.40%,44021,-10.70%,26,-3.70%,13,-1.90%,24,2019
23,CLE,-10.10%,17,-14.10%,43992,-4.60%,20,6.30%,22,0.80%,15,2019
24,OAK,-11.00%,31,-10.10%,44021,5.60%,9,14.60%,31,-2.00%,25,2019
25,DET,-12.10%,26,-13.90%,36962,-2.90%,18,10.70%,28,1.50%,8,2019
26,NYJ,-15.80%,25,-11.30%,44021,-25.00%,31,-5.80%,10,3.40%,4,2019
27,NYG,-17.50%,15,-17.90%,43933,-7.30%,23,10.50%,27,0.30%,17,2019
28,JAX,-18.00%,22,-16.70%,43992,-9.50%,24,11.00%,29,2.50%,7,2019
29,CIN,-25.20%,23,-28.80%,43875,-16.50%,29,13.30%,30,4.60%,1,2019
30,WAS,-25.70%,29,-23.70%,43903,-20.50%,30,7.90%,24,2.70%,6,2019
31,CAR,-26.90%,14,-30.60%,43962,-14.40%,28,8.10%,25,-4.40%,31,2019
32,MIA,-36.70%,27,-35.70%,43962,-13.00%,27,22.20%,32,-1.40%,22,2019
