,TEAM,TOTAL,LAST,NON-ADJ,W-L,OFFENSE,OFF.,DEFENSE,DEF.,S.T.,S.T.,Year
1,SEA,31.90%,1,27.30%,4-Dec,16.80%,5,-16.80%,1,-1.70%,19,2014
2,DEN,29.50%,2,29.40%,4-Dec,20.00%,3,-13.20%,4,-3.70%,27,2014
3,GB,23.30%,20,23.00%,4-Dec,24.70%,1,-1.00%,16,-2.30%,22,2014
4,NE,22.10%,5,20.10%,4-Dec,13.50%,6,-3.00%,12,5.70%,5,2014
5,BAL,21.90%,23,25.70%,6-Oct,9.40%,9,-4.60%,8,8.00%,2,2014
6,DAL,13.70%,17,16.30%,4-Dec,16.80%,4,4.00%,22,0.90%,13,2014
7,PHI,12.80%,8,10.30%,10/6/2020,1.10%,13,-3.30%,10,8.30%,1,2014
8,PIT,12.10%,15,13.30%,5-Nov,22.50%,2,11.30%,30,0.90%,12,2014
9,BUF,10.50%,18,10.00%,9/7/2020,-11.20%,26,-15.50%,2,6.20%,4,2014
10,KC,10.40%,6,9.40%,7-Sep,5.00%,12,1.30%,19,6.70%,3,2014
11,SF,6.60%,7,1.20%,8/8/2020,-0.40%,16,-10.10%,5,-3.00%,24,2014
12,CIN,5.00%,9,3.90%,5-Oct,-1.40%,18,-2.30%,14,4.20%,6,2014
13,IND,4.50%,13,7.00%,5-Nov,-1.10%,17,-2.30%,13,3.30%,8,2014
14,DET,4.40%,16,9.10%,11/5/2020,-3.80%,19,-13.90%,3,-5.70%,31,2014
15,MIA,3.50%,22,6.80%,8-Aug,10.10%,8,0.50%,17,-6.10%,32,2014
16,SD,-0.60%,12,-0.30%,7-Sep,7.00%,11,4.90%,25,-2.70%,23,2014
17,NO,-0.90%,4,-1.70%,9-Jul,10.60%,7,13.10%,31,1.60%,11,2014
18,STL,-3.80%,14,-5.10%,10-Jun,-11.10%,25,-3.80%,9,3.50%,7,2014
19,HOU,-4.50%,30,3.50%,7-Sep,-6.80%,21,-6.20%,6,-3.90%,28,2014
20,ATL,-5.40%,25,-3.00%,10-Jun,7.20%,10,15.70%,32,3.00%,9,2014
21,NYG,-5.80%,27,-9.70%,10-Jun,-0.30%,15,4.90%,24,-0.60%,15,2014
22,ARI,-6.40%,10,-7.50%,5-Nov,-9.30%,23,-5.00%,7,-2.20%,21,2014
23,CLE,-6.70%,28,-5.00%,9-Jul,-10.20%,24,-3.00%,11,0.40%,14,2014
24,CAR,-8.50%,3,-9.40%,8-Jul,-4.70%,20,-1.70%,15,-5.50%,30,2014
25,MIN,-8.70%,26,-6.70%,9-Jul,-7.40%,22,4.30%,23,3.00%,10,2014
26,CHI,-13.80%,11,-18.70%,11-May,-0.10%,14,10.60%,28,-3.10%,25,2014
27,NYJ,-15.50%,24,-18.60%,12-Apr,-11.20%,27,3.50%,21,-0.80%,16,2014
28,WAS,-27.00%,29,-26.30%,12-Apr,-11.80%,28,9.90%,27,-5.40%,29,2014
29,OAK,-27.40%,31,-35.60%,13-Mar,-19.40%,30,6.30%,26,-1.70%,18,2014
30,TB,-28.30%,19,-24.40%,14-Feb,-26.30%,32,1.10%,18,-0.80%,17,2014
31,TEN,-29.30%,21,-25.80%,14-Feb,-16.40%,29,11.20%,29,-1.80%,20,2014
32,JAC,-29.50%,32,-26.00%,13-Mar,-24.30%,31,1.50%,20,-3.60%,26,2014
