,TEAM,TOTAL,LAST,NON-ADJ,W-L,OFFENSE,OFF.,DEFENSE,DEF.,S.T.,S.T.,Year
1,NO,30.70%,21,26.40%,5-Nov,21.60%,2,-7.90%,8,1.20%,15,2017
2,LARM,27.70%,30,25.80%,5-Nov,11.10%,6,-9.80%,6,6.80%,2,2017
3,PIT,27.10%,4,29.10%,13-3,17.60%,3,-6.40%,9,3.10%,9,2017
4,MIN,25.00%,20,24.00%,13-3,12.00%,5,-13.90%,2,-0.90%,18,2017
5,PHI,23.40%,5,24.80%,13-3,10.10%,8,-12.30%,5,0.90%,16,2017
6,NE,22.60%,1,24.70%,13-3,27.30%,1,10.90%,31,6.30%,3,2017
7,BAL,18.60%,12,24.80%,7-Sep,-4.50%,21,-13.90%,3,9.20%,1,2017
8,JAC,13.20%,26,20.60%,6-Oct,-0.30%,16,-16.20%,1,-2.70%,24,2017
9,CAR,13.00%,24,11.70%,5-Nov,-0.50%,17,-8.80%,7,4.70%,6,2017
10,KC,10.60%,6,13.40%,6-Oct,15.90%,4,10.70%,30,5.30%,4,2017
11,LACH,7.90%,19,16.70%,7-Sep,10.60%,7,-4.70%,12,-7.50%,31,2017
12,DET,5.50%,27,5.20%,7-Sep,4.40%,12,4.00%,19,5.10%,5,2017
13,DAL,5.30%,2,4.90%,7-Sep,6.50%,10,5.80%,25,4.60%,7,2017
14,SEA,3.80%,11,5.60%,7-Sep,2.00%,14,-3.80%,13,-2.00%,20,2017
15,ATL,1.40%,3,1.80%,6-Oct,8.10%,9,5.60%,22,-1.20%,19,2017
16,WAS,-0.60%,9,-7.00%,9-Jul,-3.10%,20,-4.90%,11,-2.40%,22,2017
17,GB,-3.30%,7,-9.10%,9-Jul,0.30%,15,4.90%,20,1.30%,14,2017
18,TEN,-5.70%,15,-3.70%,7-Sep,-2.20%,18,5.00%,21,1.60%,13,2017
19,OAK,-6.60%,10,-6.20%,10-Jun,4.00%,13,10.30%,29,-0.20%,17,2017
20,SF,-8.40%,28,-10.50%,10-Jun,-3.00%,19,8.30%,26,2.90%,11,2017
21,BUF,-9.80%,17,-8.60%,7-Sep,-11.10%,26,1.60%,15,2.90%,10,2017
22,ARI,-10.80%,16,-11.70%,8-Aug,-18.00%,30,-12.70%,4,-5.50%,28,2017
23,TB,-12.00%,22,-16.00%,11-May,5.20%,11,11.70%,32,-5.50%,29,2017
24,CIN,-12.60%,13,-11.90%,9-Jul,-6.50%,22,3.70%,17,-2.40%,21,2017
25,CHI,-16.00%,25,-18.40%,11-May,-15.10%,28,-1.50%,14,-2.40%,23,2017
26,NYJ,-17.20%,32,-16.80%,11-May,-10.30%,25,3.90%,18,-3.00%,25,2017
27,MIA,-19.80%,18,-17.90%,10-Jun,-13.10%,27,9.40%,28,2.60%,12,2017
28,HOU,-20.00%,29,-21.10%,12-Apr,-9.90%,24,5.60%,23,-4.50%,26,2017
29,DEN,-21.10%,14,-15.50%,11-May,-19.00%,31,-5.30%,10,-7.40%,30,2017
30,NYG,-22.30%,8,-24.40%,13-Mar,-9.10%,23,5.70%,24,-7.50%,32,2017
31,IND,-22.80%,23,-21.70%,12-Apr,-17.80%,29,8.70%,27,3.70%,8,2017
32,CLE,-27.20%,31,-32.50%,0-16,-20.10%,32,2.00%,16,-5.10%,27,2017
